number,text,R,G,B
59,皮と肉の間にナイフを置いて押すだけ。魚はパンツを脱いで裸で泳ぎ回り、おろされた事にも気が付いていない。,255,255,255
60,あぁこのナイフは本当に切れ味鋭いんだ。切り身にすることもできるよ。,255,255,255
61,アーノルド：このナイフ自体は3980円で売ってるけど、そんなに払わなくていい。,255,255,255
62,このナイフ2本でお値段据え置き、たった3300円の3回払い。お得でしょう？どうこの値段？,255,255,255
63,シャノン：アーノルドさん！,255,255,255
64,アーノルド：こらぁなんだい？,255,255,255
65,シャノン：父が皆さんにパンナイフをおすすめしたいって。,255,255,255
66,アーノルド：ああ、このナイフは実際見てもらわないと良さがわからないな。,255,255,255
67,みんなパンナイフは持ってるでしょう？出掛けてって7000円くらい出してパンしか切れないナイフを買う。,255,255,255
68,そんなことたくさんの人がやってるよね。,255,255,255
69,アーノルド：この昔ながらのパンをちょっと切って…ああ…頑張ってトースターに入れようと、,255,255,255
70,…まだマシな方だな、ああ、凄いことをお見せしよう！,255,255,255
71,アーノルド：この切れ味鋭いナイフで切ってみよう。ナイフの重さだけで切れるんだ。,255,255,255
72,どうこの切れ味気に入った？ベーグルを切ってみよう。こんなに薄く切れる、どういいでしょう。ええ？,255,255,255
73,アーノルド：このナイフ自体は3980円するんだけど、さっきのと合わせると約18000円のこのナイフが、,255,255,255
74,全部でたった3300円の3回払い！どう？この買い物は！,255,255,255
75,シャノン：アーノルドさん！父がね？,255,255,255
76,アーノルド：冗談だろ？,255,255,255
77,シャノン：父がこま切り用サーブナイフをおすすめしたいって！,255,255,255
78,アーノルド：これもセットにするの？,255,255,255
79,シャノン：そうよ！,255,255,255
80,アーノルド：ワァオ！ここにあるのを見せようか、こりゃすごいよ！,255,255,255
81,今度玉ねぎをみじん切りにするときはこのナイフを使ってみて、こんな風にみじん切りができるから。,255,255,255
82,次はこう置いて、みじん切りが素早くできるから涙も出ない！こうしてなんでも刻めちゃう！,255,255,255
83,パセリを刻むもよし、バジルもよし、ミントもよし！,255,255,255
84,アーノルド：こま切り用サーブナイフという名前には、理由があるんだ。刃の部分が幅広いでしょ？,255,255,255
85,刻んだものをすくって、そのまんまフライパンへ入れるために幅広く作ったんだ。,255,255,255
86,アーノルド：まぁこれだけで3980円するけど、ロンはセットにするって言ってる。,255,255,255
87,シャノン：アーノルドさん！父が…,255,255,255
88,アーノルド：まだあるなんて言わないよね？,255,255,255
89,シャノン：父がガーニッシュナイフを皆さんにおすすめしたいって！,255,255,255
90,アーノルド：この小さなナイフでずいぶん楽しんだよ！リンゴの鳥は、作り方を教えてあげるからね。,255,255,255
91,このナイフは元々1480円で売られてるんだけど、この5本全部でたった3300円の3回払い！,255,255,255
92,（拍手）,255,255,255
93,アーノルド：いい買い物でしょう！,255,255,255
94,シャノン：アーノルドさん！,255,255,255
95,アーノルド：おい冗談だろ？,255,255,255
96,シャノン：ふふーん、これもどうぞ！,255,255,255
97,アーノルド：ぼくの好きなことはね、七面鳥を綺麗に薄く切ることなんだ。ほらちょっと見て、簡単でしょう！,255,255,255
98,ねえ？ほら。1、2、3、4、5、6、7本のカトラリーセットが手に入る！,255,255,255
99,しかも全部ひっくるめた値段は、一体いくらでしょう！？たった3300円の3回払い。皆さん、どうですか！,255,255,255
100,アーノルド：さあこれで皆さんは満足でしょうけど、僕は！納得いかない。だってステーキナイフがないよね。,255,255,255
101,ロン：ああ、待って！ステーキナイフならほら、4本つけるよ！,255,255,255
102,アーノルド：4本？ロン、君はこのステーキナイフを1本1780円で売ってるよね？合ってる？,255,255,255
103,ロン：その通り。,255,255,255
104,アーノルド：よぉし、この4本のステーキナイフを加えると、これで11本のセットだ！,255,255,255
105,このカトラリーセットが全部で、たった、3300円の3回払い！,255,255,255
106,（拍手と歓声）,255,255,255
107,ロン：まだ終わりじゃない、他にもあるんだ。こっちだアーノルド！,255,255,255
108,アーノルド：冗談だろロン？,255,255,255
109,ロン：まずここにあるナイフをもう一度見てみよう。切れ味抜群のショータイム・ナイフ、,255,255,255
110,こま切り用サーブナイフ、スポーツマン・ナイフ、それにパンナイフ。ガーニッシュナイフ、,255,255,255
111,肉切り用フォークと肉切り用ナイフ、さらに君に言われてつけたステーキナイフが4本。,255,255,255
112,ロン：しかしまだあるんだ。ここにないものがあるだろう？ハサミだよ！,255,255,255
113,このハサミ。チキン用のハサミだけど、私はいろんな物に使ってる。チキンをカットしたりもするよ。,255,255,255
114,細かく切りたければ、このハサミでできるんだ。庭いじりをする人は、きっとこれを気に入ると思うよ！,255,255,255
115,ロン：このハサミを直接私から買うと2980円するんだけど、これもセットに入れるからね。,255,255,255
116,皆さんこのセットは、いくら！？,255,255,255
117,観客：3300円の3回払い！,255,255,255
118,ロン：その通り。たった3300円の3回払い！でもまだ、終わりじゃあない！,255,255,255
119,ほらここに、ノコギリ型ナイフをデザインしたんだ。これは骨と冷凍食品専用。これもセットに入れるけど、,255,255,255
120,ロン：これで終わりじゃないまだあります！実は…あぁここに気に入りそうなナイフがあった、シェフナイフだ！,255,255,255
121,この切れ味は凄いですよ、本当によく切れる。このナイフもつけましょう。どうですか皆さん。,255,255,255
122,ロン：これもセットに入れるけど、でも待ってまだあるんだこれを見て。大小2本のペアナイフです。,255,255,255
123,この2本も同じようにセットにしてしまいましょう！これ全部で、いくらですか皆さん！,255,255,255
124,観客：3300円の3回払い！,255,255,255
125,ロン：でもまだあると言いましたね！セットにまだ入ってないけど、ぜひ手に入れてほしいものは…,255,255,255
126,この肉切り大包丁！分厚いステンレス製の刃が3つのリベットで止まってます。,255,255,255
127,ステンレス製の刃がハンドル部分までずーっと続いてるから、完璧なナイフバランスだ。,255,255,255
128,ロン：さぁこれを見て。エッジがいいからこれでなんでも切れてしまう。ほーら簡単でしょう、,255,255,255
129,骨も肉もスーッと切れる！このステンレス製の肉切り大包丁も手に入りますよ。,255,255,255
130,もしこのナイフのことを、お友達に話してくれるならね！……でも待って、まだある！,255,255,255
131,ロン：チーズナイフだ！切れ味をよく見てて。ナイフにチーズがくっつかない、凄いでしょう！,255,255,255
132,私のナイフの話をお友達にしてくれれば、この3980円のチーズナイフもつけますよ。,255,255,255
133,ロン：まだ終わりじゃない。さらにいい話が、ある！これはプロの魚おろし用ナイフ！,255,255,255
134,これを作ったあとアラスカに持って行ったんだ。この見事な魚をおろしている人を見て。,255,255,255
135,彼はプロの人なんだけど、こんなにいい魚おろし用ナイフを使ったことはないと思いますよ！,255,255,255
136,ロン：一方こちらではサーモンをおろしてる人がいます。こんなに大きなサーモンでも簡単にさばいてるね。,255,255,255
137,皆さんこの5980円の魚おろし用ナイフもつけますよ！,255,255,255
138,ロン：さらにこちらの骨取り用ナイフ。このナイフの使い方は皆さんご存知でしょう？,255,255,255
139,言うまでもなく非常に切れ味のいいナイフですよ。ただこのエッジがまっすぐなナイフは切れ味が落ちてきます。,255,255,255
140,ですからこのナイフには簡単に研げるナイフシャープナーをお付けします！,255,255,255
141,全部で21点のステンレス製カトラリーセットが、なんと3300円の3回払い！スティーブ、これどう思う？,255,255,255
142,スティーブ：ロン凄いよ、今までで一番のお買い得品だ。でもステーキナイフはもう少しいるかもな、,255,255,255
143,友達が5人以上来たら？,255,255,255
144,ロン：まぁ君が言いたいことは分かるよ、これで問題解決だろう？,255,255,255
145,スティーブ：んん？,255,255,255
146,ロン：このナイフのことをお友達に話してくれたら、もう4本ステーキナイフをお付けします！,255,255,255
147,これでステーキナイフは8本になったわけだ。,255,255,255
148,スティーブ：全部で25点だね。,255,255,255
149,ロン：その通り。,255,255,255
150,スティーブ：25点のセットがたった3300円の3回払い！,255,255,255
151,ロン：そう、1点あたり驚きの400円。これ一つが約400円で手に入ると思う？不可能だね！,255,255,255
152,25点のセットがたった、3300円の3回払い。,255,255,255
153,（拍手と歓声）,255,255,255
154,スティーブ：キャディさん、このナイフについてどう思います？,255,255,255
155,武田信玄：15年前に、このナイフがあればなぁ…,255,255,255
156,キャシー中島：私はシェフなんです。ドイツ製のナイフを買ってからずっと同じのを使ってるわ。,255,255,255
157,とても大事なナイフだからテストしてみたの、そしたら私のはダメだった。,255,255,255
158,ドイツ製ナイフを1本買う方が、このフルセットより高くついたわ！,255,255,255
159,ルーク・スカイウォーカー：18点セットに7万円出したけどもうダメになった。このセットはいいね！,255,255,255
160,ぼくは3セット買うよ。娘たちと妹へのギフトにする。いや見事だよ。,255,255,255
161,スタン・リー：品質が非常に高いね、ハンドル部分が3つのリベットで止まってるところが気に入った。,255,255,255
162,手になじむ感じもいいね、腕の延長みたいだ！,255,255,255
163,ロン：私がこれまで扱ってきた中で一番のお買い得品です、お試しください。,255,255,255
164,ロン：もしあなたが気に入らなければ、返せばいいんです。30日以内に返品すればお金は戻ります。,255,255,255
165,それだけ自信があるんです。,255,255,255
166,ロン：また、木製ナイフホルダーについてもオペレーターにお尋ねください。,255,255,255
167,ナレーション：お申し込みは24時間フリーダイヤルの、ご覧の番号までお電話ください！,255,255,255
168,すでに受け付けは開始しております！お支払いは代金引換、各種クレジットカード。,255,255,255
169,皆様からのお電話、お待ちしております！,255,255,255
170,End(escapeキーを押すと初めに戻ります),255,255,255
