number,text,R,G,B
60,トニー：そう、まだ始まったばかりさぁ。,255,255,255
61,トム：そうだとも。,255,255,255
62,トニー：これを見てぇ。パーフェクション・ペアリング・ナイフだよ。出来栄えを見てほしいね。,255,255,255
63,トマト、ライム、カブ、オレンジ、レモン、リンゴ、ピーツ、ラディッシュ、皮むきにピッタリ。いい皮むきナイフは値千金。このナイフはまさしくそれさぁ。,255,255,255
64,でも、このナイフは非売品。そこで皆さんに、このパーフェクション・ペアリング・ナイフをセットにします。,255,255,255
65,さらに、キッチンに必要な物を。ミラクルブレード・キッチンバサミ。チキンなら生でもローストでも、花も切れる。段ボールも切れる。色々切れちゃう。,255,255,255
66,持ち味も切れ味もいい。これもセット。,255,255,255
67,トム、さらに4本のナイフもセット。どうだい？,255,255,255
68,トム：4本も？,255,255,255
69,トニー：4本だよ（喰い気味）。,255,255,255
70,トム：頂きィ。,255,255,255
71,トニー：気に入るよぉ。,255,255,255
72,トム：ＯＫ。,255,255,255
73,トニー：これがミラクルブレードⅢのステーキナイフだよ。,255,255,255
74,トム：いいねー。,255,255,255
75,トニー：しかもこのセットのナイフと同じスチール、同じ切れ味。それから皿洗い器もＯＫ。お手入れ簡単。このステーキナイフもセットにします。,255,255,255
76,さらに、シェフ・トニーの簡単切り方ガイド、ヒント・レシピをお付けします。,255,255,255
77,こんなにあって、ミラクルブレードⅢ・パーフェクション・シリーズセットは、今回なんと9800円です。,255,255,255
78,トム：トニー、ナイフの美しさに加えて、素晴らしいオファーだね。,255,255,255
79,トニー：ありがとう。魅力的なオファーにしたつもりさ。,255,255,255
80,でもね、世のご夫婦のために、僕はもうひと頑張りしました。,255,255,255
81,そう、ミラクルブレードをもう1本プレゼントします。君たち、いつも奥さんのナイフを隠れて使ってないか？,255,255,255
82,トム：バレた（喰い気味）。,255,255,255
83,トニー：本当のことでしょぉ？　自分の物として、君の道具箱に入れておけるよぉ。ミラクル・ブレードセット、9800円、9800円で。,255,255,255
84,トム：さあ、迷うことはもうありませんよ。ご覧の番号へ今すぐお電話くだｓ,255,255,255
85,トニー：あっ、ちょっと待って！　もう1つ、これで全部だよ。,255,255,255
86,トム：燃えてるねぇ。,255,255,255
87,トニー：パーフェクト・ジューサー。気に入ってもらえると思うよぉ。フルーツや野菜から新鮮なジュースを作れちゃうよぉ。,255,255,255
88,100％のオレンジジュース、グレープジュース、キウイとハニデューメロンのミックスジュース、あなたのお好みのトロピカルパンチが出来上がり。,255,255,255
89,グラスに注いでおいしいジュースを飲めちゃう。あなたが気に入ること請け合いです。そして長くお使いいただけます。,255,255,255
90,でも万が一、お気に召さない場合は、30日以内なら返品いただいて構いません。,255,255,255
91,ただし僕は自信を持っているので、ミラクルブレード・パーフェクション・シリーズを1度使ったらあなたはきっと手放せなくなるでしょう。,255,255,255
92,トム：さあ、注文のお時間……さあ、ご注文ください。今すぐお電話を。まだまだ、ミラクルブレードの優れた点をご覧に入れますよ。,255,255,255
93,ミラクルブレードⅢがあなたの家計のお役に立てるところを見せますからねぇ。,255,255,255
94,女生徒：“素晴らしい。とても良いわ。”,255,255,255
95,男生徒：僕は普段、12本のナイフを使い分けているけれど、ミラクルブレードなら2，3本で全て事足りるね。,255,255,255
96,ナレーター：切れ味の悪くなったナイフに、うんざりしていませんかぁ？,255,255,255
97,見た目が散々な料理に悲しい思いをしたことありませんかぁ？,255,255,255
98,食事の支度に手間取ったことはありませんかぁ？,255,255,255
99,そんなあなたにぃ、ミラクルブレードⅢ・パーフェクション・シリーズのご紹介です。,255,255,255
100,デザイン、機能共に以前のミラクルブレードより格段に進化しました。台所仕事を素早く簡単に。,255,255,255
101,熱処理済みステンレスより硬いミラクルブレードは、デザイン性に優れているだけでなく、使い勝手の良さ、また耐久性にも優れています。,255,255,255
102,飾っておくだけでもこの満足感（蛮族感）！,255,255,255
103,皆様もぜひ実際に手に取ってみてください。ミラクルブレードⅢはきっとあなたを納得させてくれるはずです！,255,255,255
104,ちょっと待ってください！　これだけではないんです。,255,255,255
105,今回ご注文いただければ、驚きのパーフェクション・ジューサーを。あなたのお好みのフルーツや野菜でジュース作り。,255,255,255
106,さらに、もう1本のミラクルブレードもプレゼントにしてのご提供です。,255,255,255
107,全部セットで9800円。,255,255,255
108,たったそれだけでミラクルブレードⅢを手に入れるチャンス。,255,255,255
109,さあ、お電話ください！,255,255,255
110,End(escapeキーを押すと初めに戻ります),255,255,255
